,propertyCode,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,newDevelopmentFinished,typology_inmo,hasparking,parking_price_included,parking_price,zipcode
8754,99477800.0,bj,115000.0,flat,sale,103.0,True,3.0,2,Lorenzo Salom,València,València,es,39.4563735,-0.3851596,1630.0,False,renew,False,True,1117.0,False,False,False,False,False,False,True,urban,False,False,0.0,46007
8755,99478110.0,2,150000.0,flat,sale,65.0,True,3.0,1,Calle de Barcelona,Tarragona,Salou,es,41.0853261,1.1315589,7965.0,True,good,False,True,2308.0,False,False,False,False,False,False,True,urban,False,False,0.0,43840
8756,99478216.0,2,166000.0,flat,sale,87.0,False,3.0,1,barrio Atxuri,Vizcaya,Bilbao,es,43.2524683,-2.9196525,1785.0,False,good,False,False,1908.0,False,False,False,False,False,False,True,urban,False,False,0.0,48006
8757,99478264.0,7,350000.0,flat,sale,83.0,True,2.0,2,Calle dels Ferrocarrils Catalans,Barcelona,Barcelona,es,41.3609315,2.1391836,3884.0,True,good,False,True,4217.0,True,False,False,False,False,False,True,urban,True,True,0.0,08038
8758,99478290.0,4,185000.0,penthouse,sale,56.0,True,1.0,1,barrio La Barceloneta,Barcelona,Barcelona,es,41.3797167,2.1884018,1732.0,True,renew,False,False,3304.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8759,99478460.0,3,190000.0,flat,sale,120.0,True,3.0,2,barrio Camí de Vera,València,València,es,39.4895199,-0.3604497,2041.0,True,good,False,True,1583.0,True,False,True,False,False,False,True,urban,False,False,0.0,46020
8760,99478830.0,1,350000.0,flat,sale,80.0,True,1.0,1,Avenida del Paral·lel,Barcelona,Barcelona,es,41.3770038,2.1530186,1803.0,False,good,False,True,4375.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8761,99478850.0,bj,670000.0,flat,sale,140.0,True,4.0,2,barrio Sant Gervasi - Galvany,Barcelona,Barcelona,es,41.3981279,2.1535705,1846.0,True,good,False,True,4786.0,True,False,True,False,False,False,True,urban,False,False,0.0,08001
8762,99478940.0,2,212000.0,flat,sale,78.0,True,2.0,1,barrio Els Esquirols,Tarragona,Cambrils,es,41.0677952,1.0838328,9903.0,False,good,False,True,2718.0,False,False,False,False,False,False,True,urban,True,True,0.0,43850
8763,99479050.0,2,185000.0,flat,sale,109.0,True,4.0,2,barrio Patraix,València,València,es,39.465262,-0.3895446,1156.0,False,renew,False,True,1697.0,False,False,False,False,False,False,True,urban,True,True,0.0,46018
8764,99479070.0,1,160000.0,flat,sale,77.0,True,1.0,1,Calle de Vallhonrat,Barcelona,Barcelona,es,41.3731428,2.1586676,1809.0,False,good,False,False,2078.0,False,False,False,False,False,False,True,urban,False,False,0.0,08001
8765,99479110.0,1,395000.0,flat,sale,109.0,True,5.0,2,barrio L'Antiga Esquerra de l'Eixample,Barcelona,Barcelona,es,41.3870776,2.156906,1099.0,False,renew,False,True,3624.0,True,False,True,False,False,False,True,urban,False,False,0.0,08001
8766,99479130.0,1,269000.0,flat,sale,65.0,True,3.0,1,Calle d'Ercilla,Barcelona,Barcelona,es,41.4227093,2.174045,3977.0,True,good,False,False,4138.0,True,False,True,False,False,False,True,urban,False,False,0.0,08001
8767,99479150.0,3,155000.0,duplex,sale,148.0,True,4.0,2,Les Boqueres-Zona norte,Castellón,Almazora/Almassora,es,39.9600467,-0.0722926,10570.0,False,good,False,True,1047.0,False,False,False,False,False,False,True,residential,True,True,0.0,12250
8768,99479380.0,1,225000.0,flat,sale,67.0,True,3.0,2,barrio Provençals del Poblenou,Barcelona,Barcelona,es,41.4090759,2.1985352,3409.0,True,good,False,True,3358.0,True,False,True,False,False,False,True,urban,False,False,0.0,08018
8769,99479384.0,2,198000.0,flat,sale,113.0,True,3.0,2,"Calle de Antonio Cánovas, 33",Zaragoza,Zaragoza,es,41.6470844,-0.8934362,1668.0,False,good,False,True,1752.0,True,True,False,False,False,False,True,urban,False,False,0.0,50004
8770,99479810.0,2,96000.0,flat,sale,100.0,True,3.0,1,Calle MONTSAN,Tarragona,Reus,es,41.135385,1.1218763,2430.0,False,good,False,False,960.0,False,False,False,False,False,False,True,urban,False,False,0.0,43201
