Columna1;propertyCode;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;country;latitude;longitude;distance;hasVideo;status;newDevelopment;hasLift;priceByArea;hasPlan;has3DTour;has360;hasStaging;superTopHighlight;topNewDevelopment;newDevelopmentFinished;typology_inmo;hasparking;parking_price_included;parking_price;zipcode
49;37523090.0;bj;225000;flat;sale;130;True;4;2;Avenida de Salou;Tarragona;Reus;es;411.447.416;11.131.771;1186;False;good;False;True;1731;False;False;False;False;False;False;True;urban;False;False;0;43201
50;37608756.0;bj;218500;chalet;sale;160;False;4;2;Calle del Comandant Sugranyes, 14;Tarragona;Reus;es;411.385.056;11.201.933;2057;False;good;False;True;1366;False;False;False;False;False;False;True;residential;True;True;0;43201
51;37935220.0;bj;296000;countryHouse;sale;300;False;8;4;Calle Cementiri, 41;Tarragona;Constanti;es;411.647.823;12.067.151;8277;False;good;False;True;987;False;False;False;False;False;False;True;rural;True;True;0;43120
52;37992908.0;bj;650000;chalet;sale;360;False;5;5;Calle de Suècia;Tarragona;Reus;es;411.350.003;10.907.299;2673;False;good;False;True;1806;False;False;False;False;False;False;True;urban;True;True;0;43201
53;38016290.0;3;680000;flat;sale;116;True;1;2;barrio Sant Pere - Santa Caterina i la Ribera;Barcelona;Barcelona;es;413.901.185;21.796.898;875;True;good;False;False;5862;True;False;False;False;False;False;True;urban;False;False;0;8003
54;38182224.0;bj;426000;chalet;sale;336;False;5;5;Calle Clavells;Tarragona;Cambrils;es;410.735.049;10.932.254;9139;False;good;False;True;1268;False;False;False;False;False;False;True;urban;True;True;0;43850
55;38199708.0;bj;175000;duplex;sale;140;True;3;4;Valle de los Nueve - El Ejido - Medianías;Las Palmas;Telde;es;279.931.521;-154.445.558;5496;True;good;False;False;1250;False;False;True;False;False;False;True;residential;True;True;0;35200
56;38279956.0;bj;390000;chalet;sale;265;False;4;3;Travesía del Forcades;Tarragona;Castellvell del Camp;es;411.853.191;108.742;3825;False;good;False;True;1472;False;False;False;False;False;False;True;urban;False;False;0;43392
57;38402796.0;4;450000;flat;sale;200;True;5;3;Mestral;Tarragona;Reus;es;411.637.146;11.095.649;986;False;good;False;True;2250;False;False;False;False;False;False;True;urban;True;True;0;43201
58;38546960.0;1;950000;duplex;sale;300;True;4;4;Les Bons;Andorra;Encamp;es;42.537.789;15.873.541;22696;False;good;False;True;3167;False;False;False;False;False;False;True;residential;False;False;0;AD200
59;38548124.0;bj;450000;chalet;sale;410;False;5;4;Calle del Gerani;Tarragona;Castellvell del Camp;es;411.921.024;10.964.561;4264;False;renew;False;True;1098;False;False;False;False;False;False;True;urban;True;True;0;43392
60;38724350.0;1;108000;flat;sale;91;False;2;1;Castellvell del Camp;Tarragona;Castellvell del Camp;es;411.803.006;10.956.818;3030;False;good;False;False;1187;False;False;False;False;False;False;True;urban;False;False;0;43392
61;38901444.0;bj;94500;flat;sale;63;False;2;1;Senterada;Lleida;Senterada;es;423.241.718;0.9367325;43129;False;good;False;True;1500;False;False;False;False;False;False;True;urban;True;True;0;25514
62;38907316.0;bj;682500;chalet;sale;300;False;5;2;Les Bons;Andorra;Encamp;es;42.540.193;1.586.144;22889;False;good;False;True;2275;False;False;False;False;False;False;True;urban;True;True;0;AD200
63;38993160.0;3;169000;flat;sale;70;True;1;1;barrio Els Esquirols;Tarragona;Cambrils;es;410.679.187;10.864.849;9845;False;good;False;True;2414;False;False;False;False;False;False;True;urban;True;True;0;43850
64;39004344.0;bj;750000;chalet;sale;500;False;7;4;Mestral;Tarragona;Reus;es;411.737.695;11.059.682;2113;False;good;False;True;1500;False;False;False;False;False;False;True;urban;True;True;0;43201
65;39004360.0;12;395000;flat;sale;191;True;5;2;Mestral;Tarragona;Reus;es;411.570.211;11.049.181;397;False;good;False;True;2068;False;False;False;False;False;False;True;urban;False;False;0;43201
66;39004364.0;bj;690000;chalet;sale;510;False;5;3;Mestral;Tarragona;Reus;es;411.759.986;11.028.519;2399;False;good;False;True;1353;False;False;False;False;False;False;True;urban;True;True;0;43201
